order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds,courier_phone,courier_name,package_weight
2094662,1,Shanghai,84,121.51723,31.07613,911,0,2026/5/11 11:27,2026/5/11 11:27,121.52273,31.106,2026/5/11 13:40,2026/5/11 13:40,121.52314,31.06768,511,13881769676,刘勇,1.42
81789,1,Shanghai,84,121.50426,31.1203,2825,1,2026/5/10 9:29,2026/5/10 9:29,121.52282,31.10601,2026/5/10 12:37,2026/5/10 12:37,121.50498,31.12053,510,13881769676,刘勇,9.35
3461688,1,Shanghai,2512,121.50422,31.12032,2825,1,2026/5/7 11:02,2026/5/7 11:02,121.52289,31.106,2026/5/7 16:13,2026/5/7 16:13,121.52007,31.07729,507,13834807198,马军,8.33
2192848,1,Shanghai,2512,121.5041,31.12079,2825,1,2026/5/7 11:07,2026/5/7 11:07,121.52285,31.10606,2026/5/7 13:25,2026/5/7 13:25,121.50483,31.12049,507,13834807198,马军,1.73
3986212,1,Shanghai,2512,121.50412,31.12019,2825,1,2026/5/7 11:06,2026/5/7 11:06,121.52286,31.10603,2026/5/7 12:45,2026/5/7 12:45,121.50496,31.1206,507,13834807198,马军,8.81
727722,1,Shanghai,2512,121.50368,31.12117,2825,1,2026/5/7 11:07,2026/5/7 11:07,121.52285,31.10601,2026/5/7 13:34,2026/5/7 13:34,121.50494,31.12055,507,13834807198,马军,1.4
410318,1,Shanghai,831,121.51001,31.12274,3351,1,2026/5/7 15:57,2026/5/7 15:57,121.52287,31.10591,2026/5/7 23:02,2026/5/7 23:02,121.52979,31.02339,507,13896264071,林涛,6.61
1584366,1,Shanghai,3337,121.50904,31.12322,3351,1,2026/5/7 16:00,2026/5/7 16:00,121.52278,31.10596,2026/5/7 19:13,2026/5/7 19:13,121.52957,31.02342,507,13893901266,王辉,9.88
1887593,1,Shanghai,84,121.50537,31.12291,4461,1,2026/5/10 9:28,2026/5/10 9:28,121.5228,31.10601,2026/5/10 12:26,2026/5/10 12:26,121.50428,31.12294,510,13881769676,刘勇,11.65
2576123,1,Shanghai,84,121.50538,31.12288,4461,1,2026/5/10 9:28,2026/5/10 9:28,121.52277,31.10596,2026/5/10 12:31,2026/5/10 12:31,121.50427,31.12291,510,13881769676,刘勇,1.23
1677459,1,Shanghai,84,121.50521,31.12282,4461,1,2026/5/5 12:34,2026/5/5 12:34,121.52275,31.10594,2026/5/5 15:13,2026/5/5 15:13,121.50437,31.12299,505,13881769676,刘勇,6.38
1732923,1,Shanghai,4551,121.50499,31.12203,4461,1,2026/5/7 11:08,2026/5/7 11:08,121.52272,31.106,2026/5/7 15:14,2026/5/7 15:14,121.50312,31.1259,507,13835919416,吴华,7.0
539459,1,Shanghai,4551,121.50535,31.12284,4461,1,2026/5/7 11:09,2026/5/7 11:09,121.52271,31.10604,2026/5/7 14:24,2026/5/7 14:24,121.5024,31.12576,507,13835919416,吴华,5.43
1724398,1,Shanghai,4551,121.50535,31.12296,4461,1,2026/5/7 11:07,2026/5/7 11:07,121.52273,31.10606,2026/5/7 14:45,2026/5/7 14:45,121.50245,31.12566,507,13835919416,吴华,12.97
1716150,1,Shanghai,84,121.51693,31.12213,6546,14,2026/5/10 9:41,2026/5/10 9:41,121.52274,31.10593,2026/5/10 10:40,2026/5/10 10:40,121.51774,31.12342,510,13881769676,刘勇,2.58
849537,1,Shanghai,84,121.51683,31.12213,6546,14,2026/5/9 8:54,2026/5/9 8:54,121.52273,31.10605,2026/5/9 10:31,2026/5/9 10:31,121.51786,31.12347,509,13881769676,刘勇,14.96
380630,1,Shanghai,84,121.51695,31.12219,6546,14,2026/5/10 9:40,2026/5/10 9:40,121.52286,31.10596,2026/5/10 10:34,2026/5/10 10:34,121.51457,31.12233,510,13881769676,刘勇,2.64
50697,1,Shanghai,3279,121.50778,31.12759,6724,1,2026/5/7 10:43,2026/5/7 10:43,121.5228,31.106,2026/5/7 12:59,2026/5/7 12:59,121.50715,31.12766,507,13875316506,李磊,0.99
2753256,1,Shanghai,3279,121.50792,31.1278,6724,1,2026/5/7 13:02,2026/5/7 13:02,121.52277,31.10604,2026/5/7 13:13,2026/5/7 13:13,121.50722,31.12738,507,13875316506,李磊,3.91
1418613,1,Shanghai,84,121.52202,31.13364,7337,14,2026/5/9 8:47,2026/5/9 8:47,121.52274,31.10609,2026/5/9 12:34,2026/5/9 12:34,121.52556,31.13264,509,13881769676,刘勇,0.3
2158195,1,Shanghai,84,121.52202,31.13379,7337,14,2026/5/10 9:41,2026/5/10 9:41,121.52281,31.10604,2026/5/10 11:23,2026/5/10 11:23,121.5235,31.13171,510,13881769676,刘勇,0.93
112209,1,Shanghai,84,121.51891,31.13283,7337,14,2026/5/10 9:41,2026/5/10 9:41,121.52284,31.10606,2026/5/10 11:39,2026/5/10 11:39,121.51741,31.13298,510,13881769676,刘勇,0.69
3459423,1,Shanghai,84,121.52157,31.12467,9777,14,2026/5/9 9:06,2026/5/9 9:06,121.52285,31.10606,2026/5/9 10:50,2026/5/9 10:50,121.52037,31.12468,509,13881769676,刘勇,0.85
3752715,1,Shanghai,84,121.52207,31.12219,9777,14,2026/5/9 8:57,2026/5/9 8:57,121.52282,31.10605,2026/5/9 11:05,2026/5/9 11:05,121.52453,31.11886,509,13881769676,刘勇,10.91
