order_id,region_id,city,courier_id,accept_time,time_window_start,time_window_end,lng,lat,aoi_id,aoi_type,pickup_time,pickup_gps_time,pickup_gps_lng,pickup_gps_lat,accept_gps_time,accept_gps_lng,accept_gps_lat,ds,courier_phone,courier_name,package_weight
4685435,0,Shanghai,1455,05-30 10:17:00,05-30 11:00:00,05-30 12:00:00,121.52239,30.90748,46,14,05-30 11:02:00,05-30 11:02:00,121.52183,30.908,05-30 10:15:00,121.4974,30.90688,0530,13837192045,郑军,6.72
5388413,0,Shanghai,8122,05-30 08:09:00,05-30 09:00:00,05-30 10:00:00,121.55071,30.92755,5514,14,05-30 09:09:00,,,,05-30 08:01:00,121.53983,30.92368,0530,13831496249,周鹏,14.19
5405539,0,Shanghai,8122,05-31 13:10:00,05-31 18:00:00,05-31 19:00:00,121.549,30.92707,5514,14,05-31 18:03:00,05-31 18:03:00,121.54438,30.92634,05-31 13:03:00,121.54171,30.92647,0531,13831496249,周鹏,1.11
5198314,0,Shanghai,8122,05-31 07:45:00,05-31 09:00:00,05-31 10:00:00,121.54914,30.92704,5514,14,05-31 09:08:00,05-31 09:08:00,121.54907,30.92714,,,,0531,13831496249,周鹏,12.73
5463816,0,Shanghai,8254,05-30 07:57:00,05-30 07:57:00,05-30 23:59:00,121.55382,30.8672,7533,14,05-30 15:56:00,05-30 15:56:00,121.55383,30.86729,,,,0530,13863794789,王军,3.8
2118933,0,Shanghai,8254,05-28 15:48:00,05-28 15:48:00,05-28 23:59:00,121.55116,30.86881,7533,14,05-28 17:01:00,05-28 17:01:00,121.55161,30.86814,05-28 15:46:00,121.55145,30.92756,0528,13863794789,王军,1.05
3091402,0,Shanghai,8254,05-27 14:06:00,05-27 14:06:00,05-27 23:59:00,121.53437,30.86541,10467,14,05-27 18:42:00,05-27 18:42:00,121.54178,30.92738,05-27 14:05:00,121.53245,30.92012,0527,13863794789,王军,1.34
5386284,0,Shanghai,8122,05-31 07:29:00,05-31 07:29:00,05-31 23:59:00,121.56055,30.91418,13447,14,05-31 08:36:00,05-31 08:36:00,121.56037,30.91415,,,,0531,13831496249,周鹏,4.93
5824699,0,Shanghai,8122,05-31 09:47:00,05-31 10:00:00,05-31 11:00:00,121.56256,30.9164,13447,14,05-31 10:37:00,05-31 10:37:00,121.56278,30.91628,,,,0531,13831496249,周鹏,12.75
4004139,0,Shanghai,8122,05-30 08:46:00,05-30 09:00:00,05-30 10:00:00,121.56264,30.91637,13447,14,05-30 09:26:00,,,,05-30 08:41:00,121.54183,30.92643,0530,13831496249,周鹏,1.92
1603971,0,Shanghai,8122,05-30 08:53:00,05-30 13:00:00,05-30 14:00:00,121.56954,30.92177,13589,14,05-30 13:35:00,05-30 13:35:00,121.57008,30.92172,,,,0530,13831496249,周鹏,1.71
1761668,0,Shanghai,8122,05-31 11:56:00,05-31 11:56:00,05-31 12:56:00,121.56687,30.92306,13589,14,05-31 12:22:00,05-31 12:22:00,121.56669,30.92321,05-31 11:56:00,121.54178,30.92658,0531,13831496249,周鹏,12.55
4694477,0,Shanghai,8122,05-30 07:36:00,05-30 09:00:00,05-30 10:00:00,121.55422,30.91942,14586,14,05-30 09:16:00,,,,05-30 07:32:00,121.54009,30.92378,0530,13831496249,周鹏,14.86
104436,0,Shanghai,5390,05-28 10:05:00,05-28 10:05:00,05-28 23:59:00,121.56493,30.92499,15351,14,05-29 11:58:00,05-29 11:58:00,121.56503,30.92448,,,,0529,13860103508,郑辉,5.34
